tags,summary,endpoint,method,request_body_schema,status_code,response
demos,Create Demo,/demo-management-service/api/v1/demo/create/,POST,"{""age"": 30, ""description"": ""This is a sample demo description."", ""email"": ""user@example.com"", ""is_active"": true, ""name"": ""Sample Demo"", ""preferences"": {""newsletter"": true, ""notifications_enabled"": false}, ""progress"": 50.5, ""social_accounts"": [{""followers"": 1500, ""platform"": ""twitter"", ""url"": ""https://twitter.com/sampleuser"", ""username"": ""@sampleuser"", ""verified"": true}], ""start_date"": ""2023-01-01"", ""status"": ""creating"", ""tags"": [""postgres"", ""database"", ""example""], ""website"": ""https://example.com""}",201,"{""success"":true,""data"":{""demo_id"":""a1047da8-8935-4c55-8f57-76530a2fb429"",""name"":""Sample Demo"",""description"":""This is a sample demo description."",""website"":""https://example.com/"",""email"":""user@example.com"",""age"":30,""progress"":50.5,""start_date"":""2023-01-01"",""created_at"":""2025-11-12T10:35:39.386998Z"",""updated_at"":""2025-11-12T10:35:39.387014Z"",""deleted_at"":null,""deleted_by"":null,""status"":""created"",""is_active"":true,""social_accounts"":[{""platform"":""twitter"",""username"":""@sampleuser"",""url"":""https://twitter.com/sampleuser"",""followers"":1500,""verified"":true}],""tags"":[""postgres"",""database"",""example""],""preferences"":{""newsletter"":true,""notifications_enabled"":false}},""message"":""Demo created successfully""}"
health,Health check,/demo-management-service/api/v1/health/,GET,No request body,200,"{""success"":true,""data"":{""status"":""ok""},""message"":""Workspace Management Service healthy""}"
migrations,Create Revision,/demo-management-service/api/v1/migration/revision,POST,"{""message"": ""string""}",500,"{""success"":false,""data"":{},""error_message"":""Database error during data retrieval: No inspection system is available for object of type <class 'sqlalchemy.orm.session.Session'>"",""errors"":[]}"
migrations,Upgrade Database,/demo-management-service/api/v1/migration/upgrade,POST,No request body,500,"{""success"":false,""data"":{},""error_message"":""Database error during data retrieval: No inspection system is available for object of type <class 'sqlalchemy.orm.session.Session'>"",""errors"":[]}"
migrations,Upload Migrations,/demo-management-service/api/v1/migration/upload,POST,No request body,200,"{""success"":true,""data"":{""operation"":""upload"",""success"":true,""message"":""Migration files uploaded successfully"",""revision_id"":null,""current_revision"":null,""file_count"":1,""location"":""migrations/latest/demo-management-service-migrations.zip""},""message"":""Migration upload completed successfully""}"
migrations,Download Migrations,/demo-management-service/api/v1/migration/download,POST,No request body,200,"{""success"":true,""data"":{""operation"":""download"",""success"":true,""message"":""Migration files downloaded successfully"",""revision_id"":null,""current_revision"":null,""file_count"":1,""location"":""/Users/jaydeepgajera/github/demo-management-service/alembic/versions""},""message"":""Migration download completed successfully""}"
demos,Get Demo,/demo-management-service/api/v1/demo/read/a1047da8-8935-4c55-8f57-76530a2fb429/,GET,No request body,200,"{""success"":true,""data"":{""demo_id"":""a1047da8-8935-4c55-8f57-76530a2fb429"",""name"":""Sample Demo"",""description"":""This is a sample demo description."",""website"":""https://example.com/"",""email"":""user@example.com"",""age"":30,""progress"":50.5,""start_date"":""2023-01-01"",""created_at"":""2025-11-12T10:35:39.386998Z"",""updated_at"":""2025-11-12T10:35:39.387014Z"",""deleted_at"":null,""deleted_by"":null,""status"":""creating"",""is_active"":true,""social_accounts"":[{""platform"":""twitter"",""username"":""@sampleuser"",""url"":""https://twitter.com/sampleuser"",""followers"":1500,""verified"":true}],""tags"":[""postgres"",""database"",""example""],""preferences"":{""newsletter"":true,""notifications_enabled"":false}},""message"":""Demo retrieved successfully""}"
demos,List Demos,/demo-management-service/api/v1/demos/,GET,No request body,200,"{""success"":true,""data"":[{""demo_id"":""a1047da8-8935-4c55-8f57-76530a2fb429"",""name"":""Sample Demo"",""description"":""This is a sample demo description."",""website"":""https://example.com/"",""email"":""user@example.com"",""age"":30,""progress"":50.5,""start_date"":""2023-01-01"",""created_at"":""2025-11-12T10:35:39.386998Z"",""updated_at"":""2025-11-12T10:35:39.387014Z"",""deleted_at"":null,""deleted_by"":null,""status"":""creating"",""is_active"":true,""social_accounts"":[{""platform"":""twitter"",""username"":""@sampleuser"",""url"":""https://twitter.com/sampleuser"",""followers"":1500,""verified"":true}],""tags"":[""postgres"",""database"",""example""],""preferences"":{""newsletter"":true,""notifications_enabled"":false}}],""pagination"":{""total_count"":1,""offset"":0,""limit"":100,""total_pages"":1},""message"":""Demos retrieved successfully""}"
demos,Update Demo,/demo-management-service/api/v1/demo/update/a1047da8-8935-4c55-8f57-76530a2fb429/,PATCH,"{""description"": ""This is an updated description."", ""name"": ""Updated Demo Name"", ""tags"": [""fastapi"", ""python""]}",200,"{""success"":true,""data"":{""demo_id"":""a1047da8-8935-4c55-8f57-76530a2fb429"",""name"":""Updated Demo Name"",""description"":""This is an updated description."",""website"":""https://example.com/"",""email"":""user@example.com"",""age"":30,""progress"":50.5,""start_date"":""2023-01-01"",""created_at"":""2025-11-12T10:35:39.386998Z"",""updated_at"":""2025-11-12T10:36:24.674248Z"",""deleted_at"":null,""deleted_by"":null,""status"":""updated"",""is_active"":true,""social_accounts"":[{""platform"":""twitter"",""username"":""@sampleuser"",""url"":""https://twitter.com/sampleuser"",""followers"":1500,""verified"":true}],""tags"":[""fastapi"",""python""],""preferences"":{""newsletter"":true,""notifications_enabled"":false}},""message"":""Demo updated successfully""}"
demos,Delete Demo,/demo-management-service/api/v1/demo/delete/a1047da8-8935-4c55-8f57-76530a2fb429/,DELETE,No request body,200,"{""success"":true,""data"":{},""message"":""Demo deleted successfully""}"
